"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"18:11:37,4896527","pacman.exe","25220","CreateFile","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common","SUCCESS","Desired Access: Read EA, Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4896728","pacman.exe","25220","QueryInformationVolume","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common","SUCCESS","VolumeCreationTime: 02/10/2017 11:12:48, VolumeSerialNumber: FA00-618D, SupportsObjects: True, VolumeLabel: "
"18:11:37,4896802","pacman.exe","25220","QueryAllInformationFile","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common","BUFFER OVERFLOW","CreationTime: 02/10/2017 01:35:28, LastAccessTime: 02/10/2017 01:35:28, LastWriteTime: 02/10/2017 01:35:28, ChangeTime: 02/10/2017 01:35:28, FileAttributes: D, AllocationSize: 4.096, EndOfFile: 4.096, NumberOfLinks: 1, DeletePending: False, Directory: True, IndexNumber: 0x40000000181b2, EaSize: 0, Access: Read EA, Read Attributes, Read Control, Position: 0, Mode: , AlignmentRequirement: Word"
"18:11:37,4896873","pacman.exe","25220","CloseFile","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common","SUCCESS",""
"18:11:37,4897996","pacman.exe","25220","CreateFile","C:\Go\bin","SUCCESS","Desired Access: Read EA, Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4898438","pacman.exe","25220","QueryInformationVolume","C:\Go\bin","SUCCESS","VolumeCreationTime: 02/10/2017 11:12:48, VolumeSerialNumber: FA00-618D, SupportsObjects: True, VolumeLabel: "
"18:11:37,4898515","pacman.exe","25220","QueryAllInformationFile","C:\Go\bin","BUFFER OVERFLOW","CreationTime: 02/10/2017 02:16:23, LastAccessTime: 02/10/2017 02:16:32, LastWriteTime: 02/10/2017 02:16:32, ChangeTime: 02/10/2017 02:16:32, FileAttributes: D, AllocationSize: 0, EndOfFile: 0, NumberOfLinks: 1, DeletePending: False, Directory: True, IndexNumber: 0x1000000026945, EaSize: 0, Access: Read EA, Read Attributes, Read Control, Position: 0, Mode: , AlignmentRequirement: Word"
"18:11:37,4898596","pacman.exe","25220","CloseFile","C:\Go\bin","SUCCESS",""
"18:11:37,4899294","pacman.exe","25220","CreateFile","C:\Program Files (x86)\Calibre2","SUCCESS","Desired Access: Read EA, Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4899452","pacman.exe","25220","QueryInformationVolume","C:\Program Files (x86)\Calibre2","SUCCESS","VolumeCreationTime: 02/10/2017 11:12:48, VolumeSerialNumber: FA00-618D, SupportsObjects: True, VolumeLabel: "
"18:11:37,4899526","pacman.exe","25220","QueryAllInformationFile","C:\Program Files (x86)\Calibre2","BUFFER OVERFLOW","CreationTime: 02/10/2017 02:37:09, LastAccessTime: 02/10/2017 02:37:11, LastWriteTime: 02/10/2017 02:37:11, ChangeTime: 27/11/2017 06:31:42, FileAttributes: DA, AllocationSize: 12.288, EndOfFile: 12.288, NumberOfLinks: 1, DeletePending: False, Directory: True, IndexNumber: 0x100000002b47d, EaSize: 0, Access: Read EA, Read Attributes, Read Control, Position: 0, Mode: , AlignmentRequirement: Word"
"18:11:37,4899600","pacman.exe","25220","CloseFile","C:\Program Files (x86)\Calibre2","SUCCESS",""
"18:11:37,4900414","pacman.exe","25220","CreateFile","C:\Program Files\Csound6_x64\bin","SUCCESS","Desired Access: Read EA, Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4900553","pacman.exe","25220","QueryInformationVolume","C:\Program Files\Csound6_x64\bin","SUCCESS","VolumeCreationTime: 02/10/2017 11:12:48, VolumeSerialNumber: FA00-618D, SupportsObjects: True, VolumeLabel: "
"18:11:37,4900624","pacman.exe","25220","QueryAllInformationFile","C:\Program Files\Csound6_x64\bin","BUFFER OVERFLOW","CreationTime: 02/10/2017 02:49:01, LastAccessTime: 02/10/2017 02:49:32, LastWriteTime: 02/10/2017 02:49:32, ChangeTime: 02/10/2017 02:49:32, FileAttributes: D, AllocationSize: 28.672, EndOfFile: 28.672, NumberOfLinks: 1, DeletePending: False, Directory: True, IndexNumber: 0x100000002cf3b, EaSize: 0, Access: Read EA, Read Attributes, Read Control, Position: 0, Mode: , AlignmentRequirement: Word"
"18:11:37,4900692","pacman.exe","25220","CloseFile","C:\Program Files\Csound6_x64\bin","SUCCESS",""
"18:11:37,4901471","pacman.exe","25220","CreateFile","C:\php","SUCCESS","Desired Access: Read EA, Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
